Yahoo Kuerzel,Unternehmen
ABBN.VX,ABB LTD N
ACUN.SW,ACCU N
ADEN.VX,ADECCO N
ADVN.SW,ADVAL TECH N
ADXN.SW,ADDEX N
AEVS.SW,AEVIS N
AIRE.SW,AIRESIS N
AIRN.SW,AIROPACK TECHNOLOGY GROUP N
ALLN.SW,ALLREAL N
ALPH.SW,ALPIQ HOLDING N
ALPN.SW,ALPINE SELECT N
ALSN.SW,ALSO N
ALTN.SW,ALTIN N
AMS.SW,AMS
APGN.SW,APG SGA N
AFGN.SW,ARBONIA N
A0F7CH,Arundel N
ARYN.VX,ARYZTA N
ASCN.SW,ASCOM N 10
ATLN.VX,ACTELION N
AUTN.SW,AUTONEUM N
BAER.VX,JULIUS BAER N
BALN.VX,BALOISE N
BHM.SG,BACHEM N -B-
BAP.SW,BAUMGARTNER N
BARN.SW,BARRY CALLEBAUT N
BBN.SW,BELLEVUE GROUP N
BC.SW,BK COOP
BCGE.SW,BC GENEVE P
BCHN.SW,BURCKHARDT N
BCJ.SW,BC JURA I
BCVN.SW,BC VAUD N
BEAN.SW,BELIMO N
BEKN.SW,BEKB / BCBE N
BELL.SW,BELL AG N
BION.SW,BB BIOTECH N
BKW.SW,BKW N
BLIN.SW,BFW LIEGENSCHAFTEN N
BLKB.SW,BASELLAND KB PS
BOBNN.SW,BOBST GRP N
BOSN.SW,BOSSARD N
BPDG.SW,BANQUE PROFIL DE GESTION I
BRKN.SW,BURKHALTER N
BSKP.SW,BASLER KB PS
BSLN.SW,BASILEA N
BUCN.SW,BUCHER N
BVZN.SW,BVZ HOL N
CALN.SW,CALIDA N
CASN.SW,CASTLE ALT N
CFR.VX,RICHEMONT N
CFT.SW,CIE FIN TR I
CICN.SW,CICOR TECH N
CI,CI COM SA
CLN.VX,CLARIANT N
CLTN.SW,COLTENE N
CLXN.SW,CREALOGIX N
CMBN.SW,CEMBRA MONEY BANK N
CON.SW,CONZZETA N
COPN.SW,COSMO PHARM N
COTN.SW,COMET N
CPEN.SW,CASTLE PRIVATE N
CPGN.SW,CHAM PAPER GROUP N
CPHN.SW,CPH N
CSGN.VX,CS GROUP N
DAE.SW,DAETWYLER I
DCN.SW,DATACOLOR N
DESN.SW,DOTTIKON ES N
DKSH.SW,DKSH N
DOKA.SW,dormakaba N
DUFN.VX,DUFRY N
EDHN.SW,ENERGIEDIENST N
EEII.SW,EEII I
EFGN.SW,EFG INTERNATIONAL N
ELMN.SW,ELMA ELECTRONIC N
EMMN.SW,EMMI N
EMSN.SW,EMS-CHEMIE N
ESUN.SW,EDISUN POWER EUROPE N
EVE.SW,EVOLVA N
FEL.SW,5EL SA
FHZN.SW,FLUGHAFEN ZUERICH N
FI-N.SW,FISCHER N
FORN.SW,FORBO N
FTON.SW,FEINTOOL N
GALN.VX,GALENICA N
GAM.SW,GAM N
GATE.SW,gategroup N
GAV.SW,GAVAZZI I
GBMN.SW,GOLDBACH GROUP AG N
GEBN.VX,GEBERIT N
GFMN.SW,GOTTEX FUND N
GIVN.VX,GIVAUDAN N
GLKBN.SW,GLARNER KB N
GMI.SW,GMSA N
GRKP.SW,GRAUB KB PS
GUR.SW,GURIT I
HBLN.SW,HYPO LENZB N
HBMN.SW,HBM N
HELN.SW,HELVETIA HOLDING N
HIAG.SW,HIAG IMMOBILIEN N
HLEE.SW,HIGHLIGHT E AND E I
HOCN.SW,HOCHDORF N
HREN.SW,ROMANDE ENERGIE N
HUBN.SW,HUBER+SUHNER N
HUE.SW,HUEGLI I
IFCN.SW,INFICON N
IMPN.SW,IMPLENIA N
INRN.SW,INTERROLL N
IREN.SW,INVESTIS N
ISN.SW,INTERSHOP N
